Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 19 AVANGAR ;147460;   16 : 5   ; Winstrike 40 ;85328;Первая команда;Гипотеза не верна
 5 mousesports ;572751;   2 : 0   ; North 9 ;438821;Вторая команда;Гипотеза верна
 25 Spirit ;171048;   0 : 2   ; Heroic 15 ;414704;Вторая команда;Гипотеза верна
 null Espada ;42547;   9 : 16   ; Apeks null ;102939;Вторая команда;Гипотеза не верна
 52 DreamEaters ;106055;   16 : 1   ; Espada null ;26211;Первая команда;Гипотеза не верна
 null Espada ;40736;   9 : 16   ; DreamEaters 52 ;118741;Первая команда;Гипотеза не верна
 4 Vitality ;1174877;   2 : 1   ; G2 10 ;869859;Первая команда;Гипотеза верна
 49 Epsilon ;1435244;   0 : 2   ; Sprout 21 ;1277398;Вторая команда;Гипотеза верна
 40 Winstrike ;318304;   0 : 2   ; Nordavind 57 ;138170;Вторая команда;Гипотеза не верна
 null Trident ;1024;   0 : 2   ; Surge null ;1840;Вторая команда;Гипотеза верна
 null Lucid Dream ;154426;   2 : 0   ; Beyond 97 ;59543;Вторая команда;Гипотеза верна
 28 Grayhound ;597393;   3 : 1   ; Order 35 ;139668;Первая команда;Гипотеза верна
 null BOOM ;13012;   0 : 2   ; Beyond 97 ;21686;Вторая команда;Гипотеза верна
 18 Tyloo ;347769;   2 : 0   ; Panda null ;48839;Первая команда;Гипотеза не верна
 34 MVP PK ;199802;   0 : 2   ; Lucid Dream null ;41070;Первая команда;Гипотеза верна
 35 Order ;173786;   2 : 1   ; Chiefs 38 ;193679;Вторая команда;Гипотеза не верна
 null Absolute ;4393;   0 : 2   ; BOOM null ;2696;Первая команда;Гипотеза верна
 null BOOT-dS ;57416;   0 : 2   ; Beyond 97 ;7646;Первая команда;Гипотеза верна
 null Lucid Dream ;19477;   2 : 0   ; Ignis 126 ;12298;Первая команда;Гипотеза не верна
 34 MVP PK ;99146;   2 : 0   ; ex-Storm Riders null ;21557;Первая команда;Гипотеза верна
 16 Renegades ;418117;   2 : 0   ; INTZ 45 ;102376;Первая команда;Гипотеза верна
 null Athletico ;163332;   1 : 2   ; Paradox 129 ;78180;Вторая команда;Гипотеза верна
 8 NRG ;481564;   2 : 0   ; eUnited 29 ;112755;Первая команда;Гипотеза верна
 35 Order ;148111;   2 : 1   ; ex-Breakaway null ;36445;Первая команда;Гипотеза верна
 2 Liquid ;4442221;   0 : 2   ; FaZe 12 ;1810700;Вторая команда;Гипотеза верна
 30 GamerLegion ;221751;   0 : 2   ; G2 10 ;576778;Первая команда;Гипотеза не верна
 17 mibr ;1132132;   1 : 0   ; Cloud9 old null ;708666;Первая команда;Гипотеза верна
 9 North ;412877;   2 : 0   ; ex-SpaceS null ;64787;Первая команда;Гипотеза верна
 59 Syman ;18800;   11 : 16   ; Spirit 25 ;50419;Первая команда;Гипотеза не верна
 1 Astralis ;1500575;   5 : 16   ; FaZe 12 ;555332;Вторая команда;Гипотеза не верна
 null Cloud9 old ;251146;   13 : 16   ; Na'Vi 3 ;616882;Первая команда;Гипотеза не верна
 17 mibr ;1566209;   10 : 16   ; Liquid 2 ;2323690;Вторая команда;Гипотеза верна
 21 Sprout ;294728;   2 : 0   ; LDLC 64 ;58272;Вторая команда;Гипотеза верна
 12 FaZe ;631751;   16 : 10   ; Na'Vi 3 ;1217197;Вторая команда;Гипотеза не верна
 17 mibr ;738226;   16 : 6   ; Cloud9 old null ;295502;Первая команда;Гипотеза не верна
 1 Astralis ;1828878;   14 : 16   ; Liquid 2 ;896601;Первая команда;Гипотеза не верна
 null Espada ;5068; отменен                                     ; Unicorns of Love 69 ;15646;Первая команда;Гипотеза верна
 5 mousesports ;310277;   2 : 1   ; OpTic 20 ;152124;Вторая команда;Гипотеза верна
 3 Na'Vi ;879794;   12 : 16   ; Liquid 2 ;1119288;Вторая команда;Гипотеза не верна
 1 Astralis ;933110;   2 : 16   ; mibr 17 ;128471;Вторая команда;Гипотеза верна
 null Cloud9 old ;719332;   7 : 16   ; FaZe 12 ;813490;Вторая команда;Гипотеза верна
 10 G2 ;1421122;   2 : 0   ; VP 41 ;423772;Первая команда;Гипотеза верна
 null FrostFire ;70431;   1 : 2   ; LDLC 64 ;288842;Вторая команда;Гипотеза верна
 38 Chiefs ;146090;   2 : 0   ; ex-Breakaway null ;43145;Первая команда;Гипотеза не верна
 null Vital Spark ;34725;   0 : 2   ; 5power 79 ;132516;Первая команда;Гипотеза верна
 35 Order ;376179;   0 : 2   ; Grayhound 28 ;470106;Вторая команда;Гипотеза не верна
 null ex-Breakaway ;104251;   2 : 0   ; Paradox 129 ;29765;Первая команда;Гипотеза верна
 18 Tyloo ;164262; отменен                                     ; Panda null ;19792;Первая команда;Гипотеза верна
 79 5power ;167750;   2 : 1   ; 8EASY 117 ;56303;Первая команда;Гипотеза не верна
 38 Chiefs ;235687;   2 : 0   ; evicted (AVANT) 75 ;23812;Первая команда;Гипотеза верна
 16 Renegades ;671775;   0 : 2   ; eUnited 29 ;163232;Первая команда;Гипотеза верна
 null ex-Breakaway ;66966;   2 : 0   ; Paradox 129 ;30237;Вторая команда;Гипотеза верна
 138 Redemption POA ;11275;   2 : 1   ; Team Reapers 136 ;29004;Первая команда;Гипотеза верна
 8 NRG ;400152;   2 : 0   ; INTZ 45 ;21315;Первая команда;Гипотеза верна
 35 Order ;128024;   2 : 1   ; Athletico null ;13756;Вторая команда;Гипотеза верна
 1 Astralis ;1973442;   16 : 7   ; Na'Vi 3 ;907438;Первая команда;Гипотеза верна
 12 FaZe ;601870; отменен                                     ; mibr 17 ;501888;Первая команда;Гипотеза верна
 null Cloud9 old ;160566;   14 : 16   ; Liquid 2 ;721605;Первая команда;Гипотеза не верна
 49 Epsilon ;590355;   16 : 11   ; GamerLegion 30 ;866106;Вторая команда;Гипотеза не верна
 139 Bulldozer ;2829;   2 : 1   ; Neverest null ;2312;Первая команда;Гипотеза не верна
 2 Liquid ;612119;   16 : 5   ; FaZe 12 ;284233;Вторая команда;Гипотеза верна
 1 Astralis ;1188135;   16 : 10   ; Cloud9 old null ;137130;Вторая команда;Гипотеза верна
 17 mibr ;696220;   8 : 16   ; Na'Vi 3 ;1395877;Вторая команда;Гипотеза не верна
 4 Vitality ;1353514;   16 : 6   ; Sprout 21 ;510411;Первая команда;Гипотеза не верна
 null Monarchs se ;25376;   16 : 11   ; preanus null ;15611;Первая команда;Гипотеза не верна
 null ex-mouz ;629372;   2 : 0   ; ex-SpaceS null ;93506;Первая команда;Гипотеза верна
 null preanus ;10263;   22 : 19   ; FcottoNd null ;13655;Вторая команда;Гипотеза верна
 41 VP ;489611;   14 : 16   ; GamerLegion 30 ;975275;Вторая команда;Гипотеза не верна
 null ex-3DMAX ;555971;   0 : 2   ; Tricked 32 ;395505;Вторая команда;Гипотеза верна
 null dab ;3270;   13 : 16   ; FcottoNd null ;7468;Вторая команда;Гипотеза верна
 21 Sprout ;1450410;   16 : 4   ; LDLC 64 ;652010;Первая команда;Гипотеза верна
 9 North ;742265;   1 : 2   ; OpTic 20 ;239742;Вторая команда;Гипотеза верна
 10 G2 ;1297609;   8 : 16   ; Epsilon 49 ;425319;Первая команда;Гипотеза не верна
 32 Tricked ;595180;   2 : 1   ; NoChance 33 ;962474;Первая команда;Гипотеза верна
 4 Vitality ;1709708;   16 : 6   ; FrostFire null ;78646;Вторая команда;Гипотеза не верна
 75 evicted (AVANT) ;14947;   2 : 1   ; Control null ;6651;Первая команда;Гипотеза верна
 129 Paradox ;59357;   2 : 1   ; Astral Influence null ;26630;Первая команда;Гипотеза верна
 null ex-3DMAX ;230774;   2 : 1   ; forZe 22 ;653139;Первая команда;Гипотеза не верна
 117 8EASY ;242219;   2 : 1   ; Thirteen null ;74233;Первая команда;Гипотеза верна
 null ViCi ;10713; отменен                                     ; Panda null ;2314;Первая команда;Гипотеза верна
 null ex-Breakaway ;46830;   1 : 2   ; Grayhound 28 ;301455;Вторая команда;Гипотеза верна
 38 Chiefs ;343053;   1 : 2   ; Order 35 ;335991;Первая команда;Гипотеза верна
 38 Chiefs ;150200; отменен                                     ; Paradox 129 ;11982;Первая команда;Гипотеза верна
 75 evicted (AVANT) ;113272; отменен                                     ; ex-Breakaway null ;204294;Вторая команда;Гипотеза верна
 null Vital Spark ;26605;   2 : 1   ; Lynn Vision null ;84248;Первая команда;Гипотеза не верна
 null Astral Influence ;5426;   0 : 2   ; Order 35 ;187547;Первая команда;Гипотеза верна
 28 Grayhound ;790916;   2 : 0   ; Control null ;9926;Первая команда;Гипотеза верна
 18 Tyloo ;320438;   2 : 0   ; 5power 79 ;43191;Первая команда;Гипотеза не верна
 null ex-Breakaway ;74490;   0 : 2   ; Athletico null ;26676;Вторая команда;Гипотеза не верна
 123 Variance ;18185;   2 : 1   ; The Quest 92 ;38317;Первая команда;Гипотеза не верна
 null slashLEVEL ;126220;   2 : 0   ; The Fundamentals null ;90944;Вторая команда;Гипотеза верна
 84 paiN ;128382;   1 : 2   ; W7M 127 ;174792;Вторая команда;Гипотеза верна
 35 Order ;625149;   2 : 0   ; Paradox 129 ;94813;Вторая команда;Гипотеза не верна
 136 Team Reapers ;215050;   0 : 2   ; Evidence null ;99984;Первая команда;Гипотеза не верна
 33 NoChance ;274309;   2 : 0   ; Ancient 31 ;92621;Первая команда;Гипотеза не верна
 25 Spirit ;1290553;   16 : 11   ; Nemiga 42 ;796027;Первая команда;Гипотеза верна
 22 forZe ;195222;   2 : 1   ; Movistar Riders 37 ;62606;Вторая команда;Гипотеза верна
 41 VP ;108699; перенесён                                     ; x-kom 46 ;50624;Вторая команда;Гипотеза не верна
 25 Spirit ;484423;   9 : 16   ; Winstrike 40 ;329474;Вторая команда;Гипотеза верна
 null ex-Fragsters ;32243;   1 : 2   ; x-kom 46 ;82531;Вторая команда;Гипотеза верна
 63 expert ;143147;   2 : 1   ; London null ;63076;Первая команда;Гипотеза верна
 55 pro100 ;166246;   16 : 9   ; DreamEaters 52 ;125283;Вторая команда;Гипотеза верна
 40 Winstrike ;213237;   7 : 16   ; Nemiga 42 ;111705;Первая команда;Гипотеза не верна
 null ex-3DMAX ;188792;   2 : 1   ; Windigo 27 ;387304;Первая команда;Гипотеза верна
 32 Tricked ;394852;   2 : 0   ; Giants null ;95312;Вторая команда;Гипотеза не верна
 50 Chaos (Sweden) ;439267;   0 : 2   ; GamerLegion 30 ;808832;Первая команда;Гипотеза верна
 52 DreamEaters ;870037;   2 : 0   ; SJ Gaming 62 ;379940;Первая команда;Гипотеза верна
 38 Chiefs ;35957;   2 : 0   ; Order 35 ;82112;Первая команда;Гипотеза не верна
 null ex-Breakaway ;94825;   2 : 0   ; Fighting 4 Freedom null ;26363;Первая команда;Гипотеза верна
 null Panda ;507747;   2 : 0   ; Thirteen null ;36849;Первая команда;Гипотеза верна
 null ViCi ;479484;   2 : 1   ; 8EASY 117 ;18832;Вторая команда;Гипотеза верна
 79 5power ;180955;   2 : 0   ; Lynn Vision null ;22021;Первая команда;Гипотеза верна
 18 Tyloo ;482999;   2 : 0   ; Vital Spark null ;13606;Первая команда;Гипотеза верна
 92 The Quest ;2845;   2 : 0   ; Old Guys Club null ;1484;Вторая команда;Гипотеза верна
 118 Thunder Logic ;50416;   2 : 1   ; slashLEVEL null ;38862;Первая команда;Гипотеза не верна
 null BLITZKRIEG ;6994;   2 : 1   ; Variance 123 ;7249;Первая команда;Гипотеза верна
 92 The Quest ;4980; отменен                                     ; Old Guys Club null ;1576;Первая команда;Гипотеза верна
 118 Thunder Logic ;11973; отменен                                     ; slashLEVEL null ;63748;Первая команда;Гипотеза не верна
 null BLITZKRIEG ;9090; отменен                                     ; Variance 123 ;13768;Вторая команда;Гипотеза не верна
 84 paiN ;98181;   2 : 1   ; Team Reapers 136 ;30379;Первая команда;Гипотеза не верна
 127 W7M ;185913;   2 : 0   ; Evidence null ;31010;Вторая команда;Гипотеза верна
 19 AVANGAR ;338961;   1 : 2   ; x-kom 46 ;67878;Вторая команда;Гипотеза верна
 85 Fierce ;96742;   1 : 2   ; London null ;141142;Вторая команда;Гипотеза не верна
 null Giants ;131272;   2 : 0   ; Cream null ;40883;Первая команда;Гипотеза не верна
 25 Spirit ;672320;   6 : 16   ; Vega 51 ;390764;Первая команда;Гипотеза не верна
 37 Movistar Riders ;264404;   2 : 1   ; Syman 59 ;299017;Первая команда;Гипотеза верна
 27 Windigo ;303076;   2 : 1   ; PACT 72 ;72390;Вторая команда;Гипотеза верна
 42 Nemiga ;287164;   2 : 0   ; Sharks 58 ;218467;Вторая команда;Гипотеза не верна
 null HR old ;365241;   9 : 16   ; Vega 51 ;137050;Вторая команда;Гипотеза верна
 null London ;28175;   2 : 0   ; ATMOS null ;34171;Вторая команда;Гипотеза верна
 68 Copenhagen Flames ;5010;   0 : 2   ; x-kom 46 ;12612;Первая команда;Гипотеза верна
 19 AVANGAR ;796641;   2 : 0   ; Berzerk null ;15198;Вторая команда;Гипотеза верна
 50 Chaos (Sweden) ;121571;   2 : 1   ; expert 63 ;39352;Первая команда;Гипотеза не верна
 55 pro100 ;96583;   2 : 1   ; ex-Fragsters null ;60094;Первая команда;Гипотеза верна
 null Dragons ;18468;   0 : 2   ; Queso null ;10090;Вторая команда;Гипотеза не верна
 null Monolith ;29552;   7 : 16   ; OwmS null ;37886;Первая команда;Гипотеза верна
 42 Nemiga ;84000;   12 : 16   ; HR old null ;291360;Первая команда;Гипотеза верна
 42 Nemiga ;855; отменен                                     ; pro100 55 ;3334;Первая команда;Гипотеза не верна
 null OwmS ;14067;   16 : 9   ; Monolith null ;23874;Первая команда;Гипотеза верна
 40 Winstrike ;251429;   0 : 2   ; forZe 22 ;569360;Первая команда;Гипотеза верна
 55 pro100 ;69620;   9 : 16   ; HR old null ;157056;Вторая команда;Гипотеза верна
 52 DreamEaters ;106654; отменен                                     ; pro100 55 ;126219;Первая команда;Гипотеза верна
 52 DreamEaters ;106654; отменен                                     ; pro100 55 ;126219;Первая команда;Гипотеза верна
 59 Syman ;114258;   0 : 2   ; NoChance 33 ;292945;Первая команда;Гипотеза верна
 32 Tricked ;183909;   2 : 0   ; PACT 72 ;62854;Первая команда;Гипотеза не верна
 49 Epsilon ;290196;   1 : 2   ; Windigo 27 ;631279;Вторая команда;Гипотеза не верна
 null Veteran ;74;   1 : 2   ; Thirteen null ;132;Первая команда;Гипотеза не верна
 117 8EASY ;36;   2 : 0   ; IPET null ;54;Вторая команда;Гипотеза верна
 null Aster ;1889;   0 : 2   ; Lynn Vision null ;1035;Вторая команда;Гипотеза верна
 null wNv ;907;   0 : 2   ; Vital Spark null ;809;Вторая команда;Гипотеза не верна
 null Surge ;10091;   2 : 0   ; Paradox 129 ;37850;Первая команда;Гипотеза не верна
 43 AGO ;1261945;   0 : 2   ; Tricked 32 ;1231541;Первая команда;Гипотеза не верна
 28 Grayhound ;519117;   2 : 1   ; Athletico null ;115478;Первая команда;Гипотеза верна
 null slashLEVEL ;82531;   2 : 0   ; Old Guys Club null ;67737;Вторая команда;Гипотеза верна
 118 Thunder Logic ;37114;   2 : 0   ; The Quest 92 ;32667;Вторая команда;Гипотеза не верна
 null The Fundamentals ;35269;   0 : 2   ; BLITZKRIEG null ;44555;Вторая команда;Гипотеза верна
 null Imperial (Brazil) ;3673; отменен                                     ; DETONA 76 ;8027;Вторая команда;Гипотеза верна
 null BBC ;63314;   0 : 2   ; Variance 123 ;34261;Первая команда;Гипотеза верна
 null WePlayGames ;12437;   2 : 1   ; segura o bone null ;4287;Вторая команда;Гипотеза верна
 133 Red Canids ;12700;   16 : 14   ; Redemption POA 138 ;5175;Первая команда;Гипотеза не верна
 null WePlayGames ;10089;   16 : 9   ; Bulldozer 139 ;10466;Первая команда;Гипотеза верна
 73 Isurus ;48555;   16 : 2   ; Santos 140 ;21731;Вторая команда;Гипотеза не верна
 63 expert ;39058;   2 : 1   ; x-kom 46 ;84566;Первая команда;Гипотеза верна
 27 Windigo ;141044;   2 : 1   ; Unique 70 ;23401;Первая команда;Гипотеза верна
 37 Movistar Riders ;121137;   2 : 0   ; OFFSET 100 ;32511;Первая команда;Гипотеза не верна
 127 W7M ;53087;   16 : 13   ; Imperial (Brazil) null ;34720;Первая команда;Гипотеза верна
 136 Team Reapers ;24394;   16 : 10   ; INTZ.Academy 141 ;40796;Первая команда;Гипотеза верна
 84 paiN ;179890; перенесён                                     ; DETONA 76 ;199194;Вторая команда;Гипотеза верна
 null ex-Fragsters ;50264;   2 : 1   ; London null ;45709;Первая команда;Гипотеза верна
 50 Chaos (Sweden) ;62464;   2 : 1   ; AVANGAR 19 ;248028;Первая команда;Гипотеза верна
 51 Vega ;466619;   16 : 6   ; Nemiga 42 ;844481;Вторая команда;Гипотеза верна
 51 Vega ;693612;   7 : 16   ; DreamEaters 52 ;460914;Первая команда;Гипотеза не верна
 null OwmS ;26532;   11 : 16   ; Unicorns of Love 69 ;109622;Первая команда;Гипотеза верна
 72 PACT ;39127;   2 : 1   ; Unique 70 ;56239;Первая команда;Гипотеза верна
 49 Epsilon ;513673;   0 : 2   ; GamerLegion 30 ;574014;Первая команда;Гипотеза не верна
 33 NoChance ;48257;   2 : 0   ; OFFSET 100 ;7128;Вторая команда;Гипотеза не верна
 51 Vega ;785907;   12 : 16   ; Winstrike 40 ;937643;Первая команда;Гипотеза не верна
 69 Unicorns of Love ;122879;   16 : 8   ; OwmS null ;37208;Вторая команда;Гипотеза верна
 68 Copenhagen Flames ;123463;   0 : 2   ; London null ;58374;Вторая команда;Гипотеза верна
 null Berzerk ;27375;   0 : 2   ; pro100 55 ;145533;Вторая команда;Гипотеза не верна
 19 AVANGAR ;104390;   2 : 0   ; Fierce 85 ;8178;Первая команда;Гипотеза не верна
 null ATMOS ;102675;   1 : 2   ; x-kom 46 ;196493;Первая команда;Гипотеза не верна
 74 Vexed ;26079;   10 : 16   ; Unicorns of Love 69 ;64760;Первая команда;Гипотеза верна
 40 Winstrike ;256948; отменен                                     ; pro100 55 ;79289;Вторая команда;Гипотеза верна
 null OwmS ;65074;   6 : 16   ; VP 41 ;188432;Вторая команда;Гипотеза не верна
 27 Windigo ;462446;   0 : 2   ; Tricked 32 ;136009;Вторая команда;Гипотеза верна
 37 Movistar Riders ;306708;   0 : 2   ; Syman 59 ;188503;Вторая команда;Гипотеза верна
 52 DreamEaters ;316896;   0 : 2   ; AGO 43 ;899017;Первая команда;Гипотеза верна
 69 Unicorns of Love ;112805;   22 : 18   ; Vexed 74 ;47528;Вторая команда;Гипотеза верна
 67 Ground Zero ;46846;   2 : 0   ; Jade 113 ;18981;Первая команда;Гипотеза не верна
 27 Windigo ;567113;   2 : 0   ; Nordavind 57 ;125125;Первая команда;Гипотеза верна
 75 evicted (AVANT) ;290664;   0 : 2   ; Genuine 87 ;109295;Вторая команда;Гипотеза не верна
 67 Ground Zero ;46757;   1 : 2   ; Grayhound 28 ;345746;Первая команда;Гипотеза верна
 136 Team Reapers ;85685;   2 : 1   ; segura o bone null ;16653;Первая команда;Гипотеза верна
 null Imperial (Brazil) ;111778;   2 : 0   ; WePlayGames null ;15244;Первая команда;Гипотеза не верна
 133 Red Canids ;138208;   1 : 2   ; Neverest null ;153188;Первая команда;Гипотеза верна
 76 DETONA ;841692;   2 : 0   ; segura o bone null ;53446;Первая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;527564;   0 : 2   ; Tricked 32 ;287735;Вторая команда;Гипотеза верна
 59 Syman ;116306;   5 : 16   ; Unicorns of Love 69 ;98380;Первая команда;Гипотеза верна
 null Endpoint ;71416;   0 : 2   ; Ancient 31 ;191151;Первая команда;Гипотеза верна
 null Giants ;175122;   2 : 1   ; Akopalipsa null ;126936;Вторая команда;Гипотеза верна
 69 Unicorns of Love ;91561;   16 : 11   ; Syman 59 ;124579;Первая команда;Гипотеза верна
 33 NoChance ;681099;   2 : 1   ; VP 41 ;395894;Первая команда;Гипотеза верна
 null ex-3DMAX ;128469;   2 : 0   ; Akopalipsa null ;22485;Первая команда;Гипотеза не верна
 22 forZe ;270682;   2 : 0   ; Ancient 31 ;60546;Вторая команда;Гипотеза не верна
 null XCN ;1023;   3 : 1   ; Alter Ego null ;500;Первая команда;Гипотеза не верна
 42 Nemiga ;402334;   1 : 2   ; Chaos (Sweden) 50 ;623443;Вторая команда;Гипотеза верна
 null MARKandLARRY ;138464;   2 : 0   ; Trident null ;152262;Вторая команда;Гипотеза верна
 null Big Frames ;120201;   0 : 2   ; BLITZKRIEG null ;205113;Вторая команда;Гипотеза не верна
 null Endpoint ;77477;   2 : 1   ; ex-Fragsters null ;97267;Первая команда;Гипотеза не верна
 55 pro100 ;305484;   1 : 2   ; Giants null ;92958;Первая команда;Гипотеза не верна
 40 Winstrike ;436976;   1 : 2   ; Sharks 58 ;136723;Первая команда;Гипотеза верна
 55 pro100 ;256872;   0 : 2   ; HAVU 48 ;337138;Вторая команда;Гипотеза верна
 27 Windigo ;412581;   2 : 1   ; CR4ZY 11 ;788727;Вторая команда;Гипотеза не верна
 31 Ancient ;127217;   2 : 1   ; ex-Fragsters null ;127349;Вторая команда;Гипотеза верна
 null ATMOS ;50135;   2 : 0   ; Salamander null ;8423;Вторая команда;Гипотеза верна
 null Giants ;146391;   1 : 2   ; Akopalipsa null ;143976;Первая команда;Гипотеза верна
 72 PACT ;37590;   1 : 2   ; Epsilon 49 ;346392;Вторая команда;Гипотеза верна
 null ex-3DMAX ;157300;   2 : 1   ; pro100 55 ;85115;Первая команда;Гипотеза не верна
 22 forZe ;174854;   2 : 0   ; Endpoint null ;13992;Первая команда;Гипотеза верна
 43 AGO ;80584;   1 : 2   ; CR4ZY 11 ;190544;Вторая команда;Гипотеза не верна
 34 MVP PK ;540415;   2 : 0   ; Alpha Red null ;105857;Первая команда;Гипотеза верна
 48 HAVU ;254011;   2 : 0   ; Tricked 32 ;221875;Первая команда;Гипотеза верна
 null devils.one ;282777;   1 : 2   ; Windigo 27 ;517019;Первая команда;Гипотеза не верна
 49 Epsilon ;194058;   2 : 1   ; Movistar Riders 37 ;72322;Первая команда;Гипотеза верна
 27 Windigo ;138538;   2 : 0   ; Lyngby Vikings 83 ;8361;Первая команда;Гипотеза верна
 null devils.one ;107397;   2 : 0   ; ex-Fragsters null ;21038;Вторая команда;Гипотеза верна
 43 AGO ;119248;   2 : 0   ; Mock-it null ;9970;Первая команда;Гипотеза верна
 11 CR4ZY ;129374;   2 : 1   ; Unique 70 ;9806;Первая команда;Гипотеза верна
 null For The Alliance ;675; отменен                                     ; MARKandLARRY null ;331;Первая команда;Гипотеза не верна
 3 Na'Vi ;4058869;   3 : 0   ; Fnatic 7 ;1438547;Вторая команда;Гипотеза не верна
 72 PACT ;59296;   2 : 1   ; OESU null ;12015;Первая команда;Гипотеза не верна
 null Western Titans ;125497;   22 : 20   ; Eastern Giants null ;84278;Вторая команда;Гипотеза верна
 null MC (R!OT gaming) ;79887;   1 : 2   ; Astral Influence null ;63597;Вторая команда;Гипотеза верна
 null GANGNAM_STYL ;50085;   0 : 2   ; Control null ;119370;Вторая команда;Гипотеза не верна
 54 ALTERNATE aTTaX ;194036;   2 : 1   ; Sprout 21 ;441040;Первая команда;Гипотеза не верна
 null Akopalipsa ;255488;   0 : 2   ; Movistar Riders 37 ;367283;Первая команда;Гипотеза не верна
 null average25 ;19332;   0 : 2   ; OESU null ;11737;Первая команда;Гипотеза верна
 46 x-kom ;46042;   0 : 2   ; SJ Gaming 62 ;48573;Вторая команда;Гипотеза верна
 37 Movistar Riders ;136063;   16 : 8   ; MAJESTY null ;17384;Вторая команда;Гипотеза не верна
 null OESU ;10204;   16 : 10   ; Polbit Pogon null ;15496;Вторая команда;Гипотеза верна
 28 Grayhound ;139529;   0 : 2   ; Alpha Red null ;17938;Вторая команда;Гипотеза верна
 7 Fnatic ;1924913;   2 : 0   ; NRG 8 ;1519942;Первая команда;Гипотеза верна
 49 Epsilon ;135644;   16 : 11   ; average25 null ;18540;Вторая команда;Гипотеза верна
 null Akopalipsa ;138433;   14 : 16   ; PACT 72 ;139628;Первая команда;Гипотеза не верна
 21 Sprout ;160621;   2 : 0   ; expert 63 ;24325;Первая команда;Гипотеза верна
 72 PACT ;84555;   16 : 6   ; MAJESTY null ;24362;Вторая команда;Гипотеза не верна
 null average25 ;3310;   16 : 13   ; Polbit Pogon null ;1562;Первая команда;Гипотеза верна
 34 MVP PK ;29332;   2 : 0   ; BOOT-dS null ;18794;Первая команда;Гипотеза верна
 16 Renegades ;2072997;   1 : 2   ; Na'Vi 3 ;3840579;Первая команда;Гипотеза не верна
 54 ALTERNATE aTTaX ;100260;   2 : 0   ; Berzerk null ;11148;Первая команда;Гипотеза верна
 37 Movistar Riders ;401477;   7 : 16   ; Akopalipsa null ;106781;Первая команда;Гипотеза верна
 49 Epsilon ;133094;   16 : 5   ; OESU null ;11188;Вторая команда;Гипотеза верна
 3 Na'Vi ;2967298;   2 : 1   ; Ence 6 ;1976781;Первая команда;Гипотеза верна
 null Signify ;311489;   17 : 19   ; Alpha Red null ;366123;Первая команда;Гипотеза верна
 null Global ;58670;   9 : 16   ; Grayhound 28 ;563693;Вторая команда;Гипотеза верна
 null BOOT-dS ;374334;   13 : 16   ; Grayhound 28 ;871826;Первая команда;Гипотеза не верна
 null Runtime (OwmS) ;67771;   16 : 13   ; Vexed 74 ;87221;Первая команда;Гипотеза верна
 null Global ;84312;   9 : 16   ; BOOT-dS null ;268432;Первая команда;Гипотеза верна
 74 Vexed ;53633;   16 : 9   ; Runtime (OwmS) null ;43788;Первая команда;Гипотеза не верна
 27 Windigo ;1136402;   0 : 2   ; GamerLegion 30 ;424190;Вторая команда;Гипотеза не верна
 34 MVP PK ;269695;   16 : 11   ; Signify null ;59762;Первая команда;Гипотеза не верна
 16 Renegades ;2430216;   2 : 0   ; NiP 14 ;1576536;Вторая команда;Гипотеза верна
 75 evicted (AVANT) ;36227;   2 : 0   ; Ground Zero 67 ;23584;Вторая команда;Гипотеза верна
 7 Fnatic ;1973250;   2 : 1   ; North 9 ;1734502;Вторая команда;Гипотеза не верна
 34 MVP PK ;149423; перенесён                                     ; Alpha Red null ;35216;Первая команда;Гипотеза не верна
 8 NRG ;1478416;   2 : 0   ; Vitality 4 ;1930457;Первая команда;Гипотеза не верна
 76 DETONA ;245498;   0 : 2   ; W7M 127 ;146167;Первая команда;Гипотеза верна
 null London ;261804;   2 : 0   ; Endpoint null ;642491;Вторая команда;Гипотеза верна
 59 Syman ;187206;   16 : 9   ; Tricked 32 ;257780;Вторая команда;Гипотеза не верна
 58 Sharks ;239318;   1 : 2   ; DreamEaters 52 ;184358;Вторая команда;Гипотеза верна
 48 HAVU ;232980;   2 : 0   ; Copenhagen Flames 68 ;153264;Вторая команда;Гипотеза верна
 32 Tricked ;149766;   14 : 16   ; Syman 59 ;136929;Первая команда;Гипотеза верна
 46 x-kom ;117573;   1 : 2   ; pro100 55 ;113076;Вторая команда;Гипотеза верна
 null Runtime (OwmS) ;91969;   6 : 16   ; Tricked 32 ;215475;Первая команда;Гипотеза не верна
 37 Movistar Riders ;181295;   0 : 2   ; Epsilon 49 ;554250;Первая команда;Гипотеза верна
 50 Chaos (Sweden) ;485571;   2 : 0   ; SJ Gaming 62 ;176660;Вторая команда;Гипотеза не верна
 32 Tricked ;145234;   16 : 19   ; Runtime (OwmS) null ;42473;Первая команда;Гипотеза верна
 41 VP ;960472;   0 : 2   ; Nemiga 42 ;727950;Первая команда;Гипотеза верна
 null ex-Breakaway ;90267;   0 : 2   ; Chiefs 38 ;346467;Первая команда;Гипотеза не верна
 129 Paradox ;133785;   1 : 2   ; Order 35 ;572879;Первая команда;Гипотеза верна
