Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 67 Ground Zero ;386865;   2 : 1   ; rewound 111 ;125969;Первая команда;Гипотеза верна
 87 Genuine ;80481;   0 : 2   ; Chiefs 38 ;270525;Вторая команда;Гипотеза не верна
 null Jaguar ;205341;   2 : 0   ; Anunnaki null ;29631;Первая команда;Гипотеза верна
 null ETHEREAL ;75222;   0 : 2   ; Just Swing null ;43809;Первая команда;Гипотеза верна
 null Artyk ;56753;   0 : 2   ; NONAME null ;101935;Первая команда;Гипотеза не верна
 51 Vega ;478707;   2 : 1   ; DreamEaters 52 ;382100;Первая команда;Гипотеза верна
 98 Goliath ;3076;   2 : 0   ; Energy 119 ;5883;Первая команда;Гипотеза верна
 48 HAVU ;54796;   2 : 0   ; Ancient 31 ;168254;Вторая команда;Гипотеза верна
 50 Chaos (Sweden) ;181310;   2 : 0   ; PACT 72 ;81694;Первая команда;Гипотеза верна
 33 NoChance ;484189;   1 : 2   ; Aristocracy 39 ;393098;Первая команда;Гипотеза верна
 35 Order ;499521;   2 : 0   ; Justice null ;18160;Вторая команда;Гипотеза верна
 57 Nordavind ;308113;   2 : 1   ; Chaos (Sweden) 50 ;214679;Первая команда;Гипотеза не верна
 null Fighting 4 Freedom ;93251;   2 : 1   ; madlikewizards null ;100976;Первая команда;Гипотеза верна
 null Lowkey ;2631;   0 : 2   ; heX null ;1314;Первая команда;Гипотеза верна
 null Polar Ace ;11452;   1 : 2   ; Good Game PR null ;14485;Первая команда;Гипотеза не верна
 null Front ;2715;   2 : 1   ; iNTACT null ;8054;Вторая команда;Гипотеза не верна
 null Dogs of War ;3043;   2 : 1   ; On Lance null ;4526;Первая команда;Гипотеза не верна
 76 DETONA ;44861;   2 : 0   ; Rejected 104 ;4969;Вторая команда;Гипотеза верна
 null Strings Llama Pack ;491;   0 : 2   ; Big Frames null ;2153;Вторая команда;Гипотеза верна
